频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
甘肃卫视,甘肃卫视,甘肃卫视,甘肃卫视.png,卫视,233.50.200.163:5140,,无视频流
海南卫视,海南卫视,海南卫视,海南卫视.png,卫视,233.50.200.165:5140,,无视频流
广西卫视,广西卫视,广西卫视,广西卫视.png,卫视,233.50.200.136:5140,,无视频流
云南卫视,云南卫视,云南卫视,云南卫视.png,卫视,233.50.200.115:5140,,无视频流
吉林卫视,吉林卫视,吉林卫视,吉林卫视.png,卫视,233.50.202.42:5140,,无视频流
三沙卫视,三沙卫视,三沙卫视,三沙卫视.png,卫视,233.50.200.175:5140,,无视频流
内蒙古卫视,内蒙古卫视,内蒙古卫视,内蒙古卫视.png,卫视,233.50.201.148:5140,,无视频流
青海卫视,青海卫视,青海卫视,青海卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227765/10000100000000060000000000304132_0.smil,2784,无视频流
西藏卫视,西藏卫视,西藏卫视,西藏卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229457/134307492.smil,134307491,无视频流
陕西卫视,陕西卫视,陕西卫视,陕西卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227826/10000100000000060000000000304223_0.smil,2818,无视频流
兵团卫视,兵团卫视,兵团卫视,兵团卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229461/134307530.smil,134307529,无视频流
山西卫视,山西卫视,山西卫视,山西卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227787/10000100000000060000000000304213_0.smil,2816,无视频流
宁夏卫视,宁夏卫视,宁夏卫视,宁夏卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229462/134307486.smil,134307485,无视频流
新疆卫视,新疆卫视,新疆卫视,新疆卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229459/134307257.smil,134307256,无视频流
延边卫视,延边卫视,延边卫视,延边卫视.png,卫视,233.50.200.184:5140,,无视频流
中国教育1台,中国教育1台,中国教育1台,CETV1.png,卫视,233.50.200.169:5140,,无视频流
中国教育4台,中国教育4台,中国教育4台,CETV4.png,卫视,233.50.200.162:5140,,无视频流
凤凰中文,凤凰中文,凤凰中文,凤凰中文.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229422/110077577.smil,110077576,无视频流
凤凰资讯,凤凰资讯,凤凰资讯,凤凰资讯.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229423/110077527.smil,110077526,无视频流
卡酷少儿,卡酷少儿,卡酷少儿,卡酷少儿.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229420/110036417.smil,110036416,无视频流
哈哈炫动,哈哈炫动,哈哈炫动,哈哈炫动.png,卫视,233.50.200.167:5140,,无视频流
金鹰卡通,金鹰卡通,金鹰卡通,金鹰卡通.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229202/59229692.smil,59229691,无视频流
CGTN,CGTN,CGTN,CGTN.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil,4784,无视频流
CGTN西班牙语,CGTN西语,CGTN西语,CGTN西班牙语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil,54864296,无视频流
CGTN法语,CGTN法语,CGTN法语,CGTN法语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil,54864337,无视频流
CGTN阿拉伯语,CGTN阿语,CGTN阿语,CGTN阿拉伯语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil,54864305,无视频流
CGTN俄罗斯语,CGTN俄语,CGTN俄语,CGTN俄罗斯语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229162/54864352.smil,54864351,无视频流
钱江频道,浙江钱江都市,浙江钱江都市,钱江频道.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil,5375944,无视频流
浙江经济生活,浙江经济生活,浙江经济生活,浙江经济生活.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil,5375950,无视频流
浙江教科影视,浙江教科影视,浙江教科影视,浙江教科影视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil,5375949,无视频流
浙江民生休闲,浙江民生休闲,浙江民生休闲,浙江民生休闲.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil,5375947,无视频流
浙江公共新闻,浙江公共新闻,浙江公共新闻,浙江公共新闻.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil,5375946,无视频流
浙江少儿,浙江少儿,浙江少儿,浙江少儿.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil,5375945,无视频流
之江纪录,之江纪录,之江纪录,之江纪录.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229409/92749537.smil,92749536,无视频流
杭州1综合,杭州综合,杭州综合,杭州综合.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229189/52579603.smil,52579602,无视频流
杭州2明珠,杭州西湖明珠,杭州西湖明珠,杭州明珠.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229152/52579496.smil,52579495,无视频流
杭州3生活,杭州生活,杭州生活,杭州生活.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229156/52579500.smil,52579499,无视频流
杭州4影视,杭州影视,杭州影视,杭州影视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229142/52579609.smil,52579608,无视频流
杭州5青少,杭州青少体育,杭州青少体育,杭州青少.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229217/57567111.smil,57567110,无视频流
杭州导视,杭州导视,杭州导视,杭州导视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229263/52579543.smil,52579542,无视频流
临平新闻,临平新闻,临平新闻,,地方,233.50.202.32:5140,,无视频流
余杭新闻,余杭新闻,余杭新闻,,地方,233.50.201.159:5140,,无视频流
宁波1新闻,宁波TV1,宁波TV1,宁波新闻综合.png,地方,233.50.201.168:5140,,无视频流
宁波2经济,宁波TV2,宁波TV2,宁波经济生活.png,地方,233.50.201.178:5140,,无视频流
宁波3文体,宁波TV3,宁波TV3,宁波都市文体.png,地方,233.50.201.179:5140,,无视频流
宁波4影视,宁波TV4,宁波TV4,宁波影视剧.png,地方,233.50.201.180:5140,,无视频流
温州新闻综合,温州新闻综合,温州新闻综合,温州新闻综合.png,地方,233.50.201.87:5140,,无视频流
绍兴新闻综合,绍兴新闻综合,绍兴新闻综合,绍兴新闻综合.png,地方,233.50.201.156:5140,,无视频流
湖州新闻综合,湖州新闻综合,湖州新闻综合,湖州新闻综合.png,地方,233.50.201.158:5140,,无视频流
金华新闻综合,金华新闻,金华新闻,金华新闻综合.png,地方,233.50.201.161:5140,,无视频流
丽水新闻综合,丽水新闻综合,丽水新闻综合,丽水新闻综合.png,地方,233.50.201.162:5140,,无视频流
嘉兴新闻综合,嘉兴新闻综合,嘉兴新闻综合,嘉兴新闻综合.png,地方,233.50.201.163:5140,,无视频流
桐乡新闻综合,桐乡新闻综合,桐乡新闻综合,桐乡新闻综合.png,地方,233.50.201.169:5140,,无视频流
衢州新闻综合,衢州新闻综合,衢州新闻综合,衢州新闻综合.png,地方,233.50.202.11:5140,,无视频流
衢州公共,衢州公共,衢州公共,衢州公共.png,地方,233.50.202.12:5140,,无视频流
欢笑剧场,欢笑剧场,欢笑剧场,欢笑剧场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229240/72486906.smil,72486903,无视频流
都市剧场,都市剧场,都市剧场,都市剧场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229244/72486950.smil,72486949,无视频流
法制天地,法制天地,法制天地,法制天地.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229323/72486984.smil,72486983,无视频流
动漫秀场,动漫秀场,动漫秀场,动漫秀场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229236/72486907.smil,72486905,无视频流
游戏风云,游戏风云,游戏风云,游戏风云.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229289/72488480.smil,72488479,无视频流
乐游,乐游,乐游,乐游.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229285/72486834.smil,72486833,无视频流
金色学堂,金色学堂,金色学堂,金色学堂.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229315/72486946.smil,72486945,无视频流
生活时尚,生活时尚,生活时尚,生活时尚.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229277/72486909.smil,72486904,无视频流
茶频道,茶频道,茶频道,茶频道.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229281/72486910.smil,72486908,无视频流
快乐垂钓,快乐垂钓,快乐垂钓,快乐垂钓.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229327/72487516.smil,72487515,无视频流
睛彩竞技,睛彩竞技,睛彩竞技,睛彩竞技.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229408/94611403.smil,94611400,无视频流
睛彩篮球,睛彩篮球,睛彩篮球,睛彩篮球.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229412/94611355.smil,94611354,无视频流
睛彩青少,睛彩青少,睛彩青少,睛彩青少.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229411/94611457.smil,94611456,无视频流
睛彩广场舞,睛彩广场舞,睛彩广场舞,睛彩广场舞.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229410/94611402.smil,94611401,无视频流
东方财经,东方财经,东方财经,东方财经.png,其他,233.50.200.177:5140,,无视频流
第一财经,第一财经,第一财经,第一财经.png,其他,233.50.200.125:5140,,无视频流
环球旅游,环球旅游,环球旅游,环球旅游.png,其他,rtsp://115.233.41.137/PLTV/88888913/224/3221229415/103499735.smil,103499734,无视频流
浙江之声广播,浙江之声广播,浙江之声广播,浙江之声广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil,4844,无视频流
浙江新闻广播,浙江新闻广播,浙江新闻广播,浙江新闻广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil,4851,无视频流
浙江经济广播,浙江经济广播,浙江经济广播,浙江经济广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil,4845,无视频流
浙江音乐调频,浙江音乐调频,浙江音乐调频,浙江音乐调频.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil,4846,无视频流
浙江交通之声,浙江交通之声,浙江交通之声,浙江交通之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil,4847,无视频流
浙江旅游之声,浙江旅游之声,浙江旅游之声,浙江旅游之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil,4848,无视频流
浙江城市之声,浙江城市之声,浙江城市之声,浙江城市之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil,4850,无视频流
浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil,4849,无视频流
