序号,频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,分辨率
94,衢州新闻综合,衢州新闻综合,衢州新闻综合,,地方,233.50.202.11:5140,1920x1080
95,衢州公共,衢州公共,衢州公共,,地方,233.50.202.12:5140,1920x1080
96,欢笑剧场,欢笑剧场,欢笑剧场,,剧场,233.50.200.52:5140,3840x2160
97,欢笑剧场,欢笑剧场,欢笑剧场,,剧场,233.50.201.189:5140,1920x1080
98,都市剧场,都市剧场,都市剧场,,剧场,233.50.201.190:5140,1920x1080
99,法制天地,法制天地,法制天地,,付费,233.50.201.191:5140,1920x1080
100,动漫秀场,动漫秀场,动漫秀场,,付费,233.50.201.184:5140,1920x1080
101,游戏风云,游戏风云,游戏风云,youxifengyun.png,付费,233.50.201.183:5140,1920x1080
102,乐游,乐游,乐游,,付费,233.50.201.185:5140,1920x1080
103,金色学堂,金色学堂,金色学堂,,付费,233.50.201.186:5140,1920x1080
104,生活时尚,生活时尚,生活时尚,,付费,233.50.201.187:5140,1920x1080
105,茶频道,茶频道,茶频道,chapindao.png,付费,233.50.201.188:5140,1920x1080
106,快乐垂钓,快乐垂钓,快乐垂钓,kuailechuidiao.png,付费,233.50.201.109:5140,1920x1080
107,BesTV-1,BesTV-1,BesTV-1,,其他,233.50.200.182:5140,3840x2160
108,BesTV-2,BesTV-2,BesTV-2,,其他,233.50.200.183:5140,3840x2160
109,BesTV-3,BesTV-3,BesTV-3,,其他,233.50.200.185:5140,3840x2160
110,晴彩竞技,晴彩竞技,晴彩竞技,,其他,233.50.202.26:5140,1920x1080
111,晴彩篮球,晴彩篮球,晴彩篮球,,其他,233.50.202.27:5140,1920x1080
112,晴彩青少,晴彩青少,晴彩青少,,其他,233.50.202.28:5140,1920x1080
113,晴彩广场舞,晴彩广场舞,晴彩广场舞,,其他,233.50.202.29:5140,1920x1080
114,东方财经,东方财经,东方财经,,其他,233.50.200.177:5140,1920x1080
115,第一财经,第一财经,第一财经,,其他,233.50.200.125:5140,1920x1080
116,魅力足球,魅力足球,魅力足球,,其他,233.50.200.176:5140,1920x1080
117,浙江之声广播,浙江之声广播,浙江之声广播,,广播,233.50.201.79:5140,无视频流
118,浙江新闻广播,浙江新闻广播,浙江新闻广播,,广播,233.50.201.80:5140,无视频流
119,经济频道广播,经济频道广播,经济频道广播,,广播,233.50.201.81:5140,无视频流
120,音乐调频广播,音乐调频广播,音乐调频广播,,广播,233.50.201.82:5140,无视频流
121,交通之声广播,交通之声广播,交通之声广播,,广播,233.50.201.83:5140,无视频流
122,旅游之声广播,旅游之声广播,旅游之声广播,,广播,233.50.201.84:5140,无视频流
123,城市之声广播,城市之声广播,城市之声广播,,广播,233.50.201.85:5140,无视频流
124,民生资讯广播,民生资讯广播,民生资讯广播,,广播,233.50.201.86:5140,无视频流
